,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
5387,Digital,OverDrive,EBOOK,2018,1,19,The Snow Child: A Novel,,Eowyn Ivey,"Fiction, Historical Fiction, Literature","Hachette Digital, Inc.",2013
5389,Digital,OverDrive,EBOOK,2018,1,1,Girl Factory: A Memoir,,Karen Dietrich,"Biography & Autobiography, Nonfiction",Rowman and Littlefield Publishing Group,2013
5443,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Liberator: One World War II Soldier's 500-Day Odyssey from the Beaches of Sicily to the Gates of Dachau (unabridged) (Unabridged),,Alex Kershaw,"History, Military, Nonfiction",Books on Tape,2013
5469,Digital,OverDrive,EBOOK,2018,1,2,"Eternal Rider: Lords of Deliverance Series, Book 1",,Larissa Ione,"Fantasy, Fiction, Romance","Hachette Digital, Inc.",2013
5491,Digital,OverDrive,EBOOK,2018,1,2,Unnatural Creatures: Stories Selected by Neil Gaiman,,Neil Gaiman,"Short Stories, Young Adult Fiction",HarperCollins Publishers Inc.,2013
5501,Digital,OverDrive,EBOOK,2018,1,5,"Twice Tempted: Night Prince Series, Book 2",,Jeaniene Frost,"Fantasy, Fiction, Romance",HarperCollins Publishers Inc.,2013
5511,Digital,OverDrive,EBOOK,2018,1,1,Pacific Salmon,,Jason Cooper,"Juvenile Nonfiction, Nature, Science",Britannica Digital Learning,2013
5554,Digital,OverDrive,EBOOK,2018,1,2,"Blindsight: Jack Stapleton / Laurie Montgomery Series, Book 1",,Robin Cook,"Fiction, Thriller","Penguin Group (USA), Inc.",2013
5570,Digital,OverDrive,EBOOK,2018,1,5,Wild Invitation: A Psy-Changeling Collection,,Nalini Singh,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2013
5571,Digital,OverDrive,EBOOK,2018,1,1,Sophomore: Undeclared,,Daisy Harris,"Erotic Literature, Fiction, Romance",Totally Bound Publishing,2013
5580,Digital,OverDrive,EBOOK,2018,1,1,"Sweet as Sugar, Hot as Spice: Farrel Sisters Series, Book 3",,Kimberly Raye,"Fiction, Romance","Hachette Digital, Inc.",2013
5612,Digital,OverDrive,AUDIOBOOK,2018,1,1,Joe Ledger: The Missing Files (unabridged) (Unabridged),,Jonathan Maberry,"Fiction, Horror, Thriller","Blackstone Audio, Inc.",2013
5619,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Leopard (Unabridged),,Giuseppe Tomasi di Lampedusa,"Classic Literature, Fiction","Naxos of America, Inc.",2013
